"kind" "grade" "fname"
"117" "train" "white" "WT cells 33.bmp"
"118" "train" "opaque" "WT cells 33.bmp"
"119" "train" "gray" "WT cells 33.bmp"
"120" "train" "shmoo" "WT cells 33.bmp"
"121" "train" "pseudohyphae" "WT cells 33.bmp"
"122" "train" "hyphae" "WT cells 33.bmp"
"123" "train" "white" "WT cells 3.bmp"
"124" "train" "opaque" "WT cells 3.bmp"
"125" "train" "gray" "WT cells 3.bmp"
"126" "train" "shmoo" "WT cells 3.bmp"
"127" "train" "pseudohyphae" "WT cells 3.bmp"
"128" "train" "hyphae" "WT cells 3.bmp"
"129" "validation" "white" "WT cells 43.bmp"
"130" "validation" "opaque" "WT cells 43.bmp"
"131" "validation" "gray" "WT cells 43.bmp"
"132" "validation" "shmoo" "WT cells 43.bmp"
"133" "validation" "pseudohyphae" "WT cells 43.bmp"
"134" "validation" "hyphae" "WT cells 43.bmp"
"135" "train" "white" "WT cells 12.bmp"
"136" "train" "opaque" "WT cells 12.bmp"
"137" "train" "gray" "WT cells 12.bmp"
"138" "train" "shmoo" "WT cells 12.bmp"
"139" "train" "pseudohyphae" "WT cells 12.bmp"
"140" "train" "hyphae" "WT cells 12.bmp"
"141" "validation" "white" "WT cells 27.bmp"
"142" "validation" "opaque" "WT cells 27.bmp"
"143" "validation" "gray" "WT cells 27.bmp"
"144" "validation" "shmoo" "WT cells 27.bmp"
"145" "validation" "pseudohyphae" "WT cells 27.bmp"
"146" "validation" "hyphae" "WT cells 27.bmp"
"147" "train" "white" "WT cells 46.bmp"
"148" "train" "opaque" "WT cells 46.bmp"
"149" "train" "gray" "WT cells 46.bmp"
"150" "train" "shmoo" "WT cells 46.bmp"
"151" "train" "pseudohyphae" "WT cells 46.bmp"
"152" "train" "hyphae" "WT cells 46.bmp"
"153" "validation" "white" "WT cells 9.bmp"
"154" "validation" "opaque" "WT cells 9.bmp"
"155" "validation" "gray" "WT cells 9.bmp"
"156" "validation" "shmoo" "WT cells 9.bmp"
"157" "validation" "pseudohyphae" "WT cells 9.bmp"
"158" "validation" "hyphae" "WT cells 9.bmp"
"159" "train" "white" "WT cells 7.bmp"
"160" "train" "opaque" "WT cells 7.bmp"
"161" "train" "gray" "WT cells 7.bmp"
"162" "train" "shmoo" "WT cells 7.bmp"
"163" "train" "pseudohyphae" "WT cells 7.bmp"
"164" "train" "hyphae" "WT cells 7.bmp"
"165" "validation" "white" "WT cells 45.bmp"
"166" "validation" "opaque" "WT cells 45.bmp"
"167" "validation" "gray" "WT cells 45.bmp"
"168" "validation" "shmoo" "WT cells 45.bmp"
"169" "validation" "pseudohyphae" "WT cells 45.bmp"
"170" "validation" "hyphae" "WT cells 45.bmp"
"171" "train" "white" "WT cells 35.bmp"
"172" "train" "opaque" "WT cells 35.bmp"
"173" "train" "gray" "WT cells 35.bmp"
"174" "train" "shmoo" "WT cells 35.bmp"
"175" "train" "pseudohyphae" "WT cells 35.bmp"
"176" "train" "hyphae" "WT cells 35.bmp"
"177" "validation" "white" "WT cells 17.bmp"
"178" "validation" "opaque" "WT cells 17.bmp"
"179" "validation" "gray" "WT cells 17.bmp"
"180" "validation" "shmoo" "WT cells 17.bmp"
"181" "validation" "pseudohyphae" "WT cells 17.bmp"
"182" "validation" "hyphae" "WT cells 17.bmp"
"183" "validation" "white" "WT cells 30.bmp"
"184" "validation" "opaque" "WT cells 30.bmp"
"185" "validation" "gray" "WT cells 30.bmp"
"186" "validation" "shmoo" "WT cells 30.bmp"
"187" "validation" "pseudohyphae" "WT cells 30.bmp"
"188" "validation" "hyphae" "WT cells 30.bmp"
"189" "train" "white" "WT cells 22.bmp"
"190" "train" "opaque" "WT cells 22.bmp"
"191" "train" "gray" "WT cells 22.bmp"
"192" "train" "shmoo" "WT cells 22.bmp"
"193" "train" "pseudohyphae" "WT cells 22.bmp"
"194" "train" "hyphae" "WT cells 22.bmp"
"195" "train" "white" "WT cells 24.bmp"
"196" "train" "opaque" "WT cells 24.bmp"
"197" "train" "gray" "WT cells 24.bmp"
"198" "train" "shmoo" "WT cells 24.bmp"
"199" "train" "pseudohyphae" "WT cells 24.bmp"
"200" "train" "hyphae" "WT cells 24.bmp"
"201" "validation" "white" "WT cells 39.bmp"
"202" "validation" "opaque" "WT cells 39.bmp"
"203" "validation" "gray" "WT cells 39.bmp"
"204" "validation" "shmoo" "WT cells 39.bmp"
"205" "validation" "pseudohyphae" "WT cells 39.bmp"
"206" "validation" "hyphae" "WT cells 39.bmp"
"207" "train" "white" "WT cells 26.bmp"
"208" "train" "opaque" "WT cells 26.bmp"
"209" "train" "gray" "WT cells 26.bmp"
"210" "train" "shmoo" "WT cells 26.bmp"
"211" "train" "pseudohyphae" "WT cells 26.bmp"
"212" "train" "hyphae" "WT cells 26.bmp"
"213" "train" "white" "WT cells 6.bmp"
"214" "train" "opaque" "WT cells 6.bmp"
"215" "train" "gray" "WT cells 6.bmp"
"216" "train" "shmoo" "WT cells 6.bmp"
"217" "train" "pseudohyphae" "WT cells 6.bmp"
"218" "train" "hyphae" "WT cells 6.bmp"
"219" "train" "white" "WT cells 29.bmp"
"220" "train" "opaque" "WT cells 29.bmp"
"221" "train" "gray" "WT cells 29.bmp"
"222" "train" "shmoo" "WT cells 29.bmp"
"223" "train" "pseudohyphae" "WT cells 29.bmp"
"224" "train" "hyphae" "WT cells 29.bmp"
"225" "train" "white" "WT cells 47.bmp"
"226" "train" "opaque" "WT cells 47.bmp"
"227" "train" "gray" "WT cells 47.bmp"
"228" "train" "shmoo" "WT cells 47.bmp"
"229" "train" "pseudohyphae" "WT cells 47.bmp"
"230" "train" "hyphae" "WT cells 47.bmp"
"231" "validation" "white" "WT cells 4.bmp"
"232" "validation" "opaque" "WT cells 4.bmp"
"233" "validation" "gray" "WT cells 4.bmp"
"234" "validation" "shmoo" "WT cells 4.bmp"
"235" "validation" "pseudohyphae" "WT cells 4.bmp"
"236" "validation" "hyphae" "WT cells 4.bmp"
"237" "train" "white" "WT cells 18.bmp"
"238" "train" "opaque" "WT cells 18.bmp"
"239" "train" "gray" "WT cells 18.bmp"
"240" "train" "shmoo" "WT cells 18.bmp"
"241" "train" "pseudohyphae" "WT cells 18.bmp"
"242" "train" "hyphae" "WT cells 18.bmp"
"243" "train" "white" "WT cells 31.bmp"
"244" "train" "opaque" "WT cells 31.bmp"
"245" "train" "gray" "WT cells 31.bmp"
"246" "train" "shmoo" "WT cells 31.bmp"
"247" "train" "pseudohyphae" "WT cells 31.bmp"
"248" "train" "hyphae" "WT cells 31.bmp"
"249" "train" "white" "WT cells 32.bmp"
"250" "train" "opaque" "WT cells 32.bmp"
"251" "train" "gray" "WT cells 32.bmp"
"252" "train" "shmoo" "WT cells 32.bmp"
"253" "train" "pseudohyphae" "WT cells 32.bmp"
"254" "train" "hyphae" "WT cells 32.bmp"
"255" "validation" "white" "WT cells 49.bmp"
"256" "validation" "opaque" "WT cells 49.bmp"
"257" "validation" "gray" "WT cells 49.bmp"
"258" "validation" "shmoo" "WT cells 49.bmp"
"259" "validation" "pseudohyphae" "WT cells 49.bmp"
"260" "validation" "hyphae" "WT cells 49.bmp"
"261" "validation" "white" "WT cells 20.bmp"
"262" "validation" "opaque" "WT cells 20.bmp"
"263" "validation" "gray" "WT cells 20.bmp"
"264" "validation" "shmoo" "WT cells 20.bmp"
"265" "validation" "pseudohyphae" "WT cells 20.bmp"
"266" "validation" "hyphae" "WT cells 20.bmp"
"267" "train" "white" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_4.bmp"
"268" "train" "opaque" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_4.bmp"
"269" "train" "gray" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_4.bmp"
"270" "train" "shmoo" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_4.bmp"
"271" "train" "pseudohyphae" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_4.bmp"
"272" "train" "hyphae" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_4.bmp"
"273" "train" "white" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_5.bmp"
"274" "train" "opaque" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_5.bmp"
"275" "train" "gray" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_5.bmp"
"276" "train" "shmoo" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_5.bmp"
"277" "train" "pseudohyphae" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_5.bmp"
"278" "train" "hyphae" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_5.bmp"
"279" "validation" "white" "5314_Control_stained_w_CWF__18b.bmp"
"280" "validation" "opaque" "5314_Control_stained_w_CWF__18b.bmp"
"281" "validation" "gray" "5314_Control_stained_w_CWF__18b.bmp"
"282" "validation" "shmoo" "5314_Control_stained_w_CWF__18b.bmp"
"283" "validation" "pseudohyphae" "5314_Control_stained_w_CWF__18b.bmp"
"284" "validation" "hyphae" "5314_Control_stained_w_CWF__18b.bmp"
"285" "validation" "white" "WT cells 44.bmp"
"286" "validation" "opaque" "WT cells 44.bmp"
"287" "validation" "gray" "WT cells 44.bmp"
"288" "validation" "shmoo" "WT cells 44.bmp"
"289" "validation" "pseudohyphae" "WT cells 44.bmp"
"290" "validation" "hyphae" "WT cells 44.bmp"
"291" "validation" "white" "WT cells 50.bmp"
"292" "validation" "opaque" "WT cells 50.bmp"
"293" "validation" "gray" "WT cells 50.bmp"
"294" "validation" "shmoo" "WT cells 50.bmp"
"295" "validation" "pseudohyphae" "WT cells 50.bmp"
"296" "validation" "hyphae" "WT cells 50.bmp"
"297" "train" "white" "WT cells 21.bmp"
"298" "train" "opaque" "WT cells 21.bmp"
"299" "train" "gray" "WT cells 21.bmp"
"300" "train" "shmoo" "WT cells 21.bmp"
"301" "train" "pseudohyphae" "WT cells 21.bmp"
"302" "train" "hyphae" "WT cells 21.bmp"
"303" "train" "white" "WT cells 14.bmp"
"304" "train" "opaque" "WT cells 14.bmp"
"305" "train" "gray" "WT cells 14.bmp"
"306" "train" "shmoo" "WT cells 14.bmp"
"307" "train" "pseudohyphae" "WT cells 14.bmp"
"308" "train" "hyphae" "WT cells 14.bmp"
"309" "train" "pseudohyphae" "SHMOO and WH 8.bmp"
"310" "train" "hyphae" "SHMOO and WH 8.bmp"
"311" "train" "pseudohyphae" "5314_after_3_hrs_in_20_serum37_degrees__11.bmp"
"312" "train" "hyphae" "5314_after_3_hrs_in_20_serum37_degrees__11.bmp"
"313" "train" "opaque" "OP and WH 23.bmp"
"314" "train" "gray" "OP and WH 23.bmp"
"315" "train" "shmoo" "OP and WH 23.bmp"
"316" "train" "pseudohyphae" "OP and WH 23.bmp"
"317" "train" "hyphae" "OP and WH 23.bmp"
"318" "train" "white" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre__4.bmp"
"319" "train" "opaque" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre__4.bmp"
"320" "train" "gray" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre__4.bmp"
"321" "train" "shmoo" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre__4.bmp"
"322" "train" "pseudohyphae" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre__4.bmp"
"323" "train" "hyphae" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre__4.bmp"
"324" "train" "white" "WT cells 36.bmp"
"325" "train" "opaque" "WT cells 36.bmp"
"326" "train" "gray" "WT cells 36.bmp"
"327" "train" "shmoo" "WT cells 36.bmp"
"328" "train" "pseudohyphae" "WT cells 36.bmp"
"329" "train" "hyphae" "WT cells 36.bmp"
"330" "train" "opaque" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_7.bmp"
"331" "train" "gray" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_7.bmp"
"332" "train" "shmoo" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_7.bmp"
"333" "train" "pseudohyphae" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_7.bmp"
"334" "train" "hyphae" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_7.bmp"
"335" "train" "white" "5314_Control_stained_w_CWF__8.bmp"
"336" "train" "opaque" "5314_Control_stained_w_CWF__8.bmp"
"337" "train" "gray" "5314_Control_stained_w_CWF__8.bmp"
"338" "train" "shmoo" "5314_Control_stained_w_CWF__8.bmp"
"339" "train" "pseudohyphae" "5314_Control_stained_w_CWF__8.bmp"
"340" "train" "hyphae" "5314_Control_stained_w_CWF__8.bmp"
"341" "train" "opaque" "OP cells 5.bmp"
"342" "train" "gray" "OP cells 5.bmp"
"343" "train" "shmoo" "OP cells 5.bmp"
"344" "train" "pseudohyphae" "OP cells 5.bmp"
"345" "train" "hyphae" "OP cells 5.bmp"
"346" "validation" "white" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre__10.bmp"
"347" "validation" "opaque" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre__10.bmp"
"348" "validation" "gray" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre__10.bmp"
"349" "validation" "shmoo" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre__10.bmp"
"350" "validation" "pseudohyphae" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre__10.bmp"
"351" "validation" "hyphae" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre__10.bmp"
"352" "validation" "opaque" "OP and WH 37.bmp"
"353" "validation" "gray" "OP and WH 37.bmp"
"354" "validation" "shmoo" "OP and WH 37.bmp"
"355" "validation" "pseudohyphae" "OP and WH 37.bmp"
"356" "validation" "hyphae" "OP and WH 37.bmp"
"357" "train" "opaque" "OP cells 29.bmp"
"358" "train" "gray" "OP cells 29.bmp"
"359" "train" "shmoo" "OP cells 29.bmp"
"360" "train" "pseudohyphae" "OP cells 29.bmp"
"361" "train" "hyphae" "OP cells 29.bmp"
"362" "train" "opaque" "OP cells 41.bmp"
"363" "train" "gray" "OP cells 41.bmp"
"364" "train" "shmoo" "OP cells 41.bmp"
"365" "train" "pseudohyphae" "OP cells 41.bmp"
"366" "train" "hyphae" "OP cells 41.bmp"
"367" "validation" "opaque" "OP and WH 43.bmp"
"368" "validation" "gray" "OP and WH 43.bmp"
"369" "validation" "shmoo" "OP and WH 43.bmp"
"370" "validation" "pseudohyphae" "OP and WH 43.bmp"
"371" "validation" "hyphae" "OP and WH 43.bmp"
"372" "train" "opaque" "OP and WH 10.bmp"
"373" "train" "gray" "OP and WH 10.bmp"
"374" "train" "shmoo" "OP and WH 10.bmp"
"375" "train" "pseudohyphae" "OP and WH 10.bmp"
"376" "train" "hyphae" "OP and WH 10.bmp"
"377" "validation" "white" "5314_Control_stained_w_CWF__2.bmp"
"378" "validation" "opaque" "5314_Control_stained_w_CWF__2.bmp"
"379" "validation" "gray" "5314_Control_stained_w_CWF__2.bmp"
"380" "validation" "shmoo" "5314_Control_stained_w_CWF__2.bmp"
"381" "validation" "pseudohyphae" "5314_Control_stained_w_CWF__2.bmp"
"382" "validation" "hyphae" "5314_Control_stained_w_CWF__2.bmp"
"383" "validation" "opaque" "OP and WH 34.bmp"
"384" "validation" "gray" "OP and WH 34.bmp"
"385" "validation" "shmoo" "OP and WH 34.bmp"
"386" "validation" "pseudohyphae" "OP and WH 34.bmp"
"387" "validation" "hyphae" "OP and WH 34.bmp"
"388" "train" "white" "WT cells 11.bmp"
"389" "train" "opaque" "WT cells 11.bmp"
"390" "train" "gray" "WT cells 11.bmp"
"391" "train" "shmoo" "WT cells 11.bmp"
"392" "train" "pseudohyphae" "WT cells 11.bmp"
"393" "train" "hyphae" "WT cells 11.bmp"
"394" "train" "white" "WT cells 28.bmp"
"395" "train" "opaque" "WT cells 28.bmp"
"396" "train" "gray" "WT cells 28.bmp"
"397" "train" "shmoo" "WT cells 28.bmp"
"398" "train" "pseudohyphae" "WT cells 28.bmp"
"399" "train" "hyphae" "WT cells 28.bmp"
"400" "train" "opaque" "OP and WH 5.bmp"
"401" "train" "gray" "OP and WH 5.bmp"
"402" "train" "shmoo" "OP and WH 5.bmp"
"403" "train" "pseudohyphae" "OP and WH 5.bmp"
"404" "train" "hyphae" "OP and WH 5.bmp"
"405" "validation" "opaque" "OP cells 46.bmp"
"406" "validation" "gray" "OP cells 46.bmp"
"407" "validation" "shmoo" "OP cells 46.bmp"
"408" "validation" "pseudohyphae" "OP cells 46.bmp"
"409" "validation" "hyphae" "OP cells 46.bmp"
"410" "train" "opaque" "OP and WH 40.bmp"
"411" "train" "gray" "OP and WH 40.bmp"
"412" "train" "shmoo" "OP and WH 40.bmp"
"413" "train" "pseudohyphae" "OP and WH 40.bmp"
"414" "train" "hyphae" "OP and WH 40.bmp"
"415" "train" "white" "WT cells 25.bmp"
"416" "train" "opaque" "WT cells 25.bmp"
"417" "train" "gray" "WT cells 25.bmp"
"418" "train" "shmoo" "WT cells 25.bmp"
"419" "train" "pseudohyphae" "WT cells 25.bmp"
"420" "train" "hyphae" "WT cells 25.bmp"
"421" "train" "opaque" "OP and WH 26.bmp"
"422" "train" "gray" "OP and WH 26.bmp"
"423" "train" "shmoo" "OP and WH 26.bmp"
"424" "train" "pseudohyphae" "OP and WH 26.bmp"
"425" "train" "hyphae" "OP and WH 26.bmp"
"426" "validation" "white" "WT cells 10.bmp"
"427" "validation" "opaque" "WT cells 10.bmp"
"428" "validation" "gray" "WT cells 10.bmp"
"429" "validation" "shmoo" "WT cells 10.bmp"
"430" "validation" "pseudohyphae" "WT cells 10.bmp"
"431" "validation" "hyphae" "WT cells 10.bmp"
"432" "train" "opaque" "OP and WH 13.bmp"
"433" "train" "gray" "OP and WH 13.bmp"
"434" "train" "shmoo" "OP and WH 13.bmp"
"435" "train" "pseudohyphae" "OP and WH 13.bmp"
"436" "train" "hyphae" "OP and WH 13.bmp"
"437" "validation" "opaque" "OP and WH 11.bmp"
"438" "validation" "gray" "OP and WH 11.bmp"
